89,83,70,54,61,56,51,48,48,48,49,63,146
66,55,40,37,19,16,25,33,42,49,50,61,91
59,117,70,36,25,19,14,6,3,4,7,135,78
72,80,61,557,18,303,6,148,0,305,15,91,76
79,157,111,618,27,278,7,123,13,413,48,250,83
95,107,239,515,6,164,16,161,10,519,243,125,111
118,142,106,725,4,105,11,221,40,500,136,121,91
134,155,181,454,34,85,5,205,24,354,305,77,95
125,152,27,85,17,31,6,59,12,148,98,128,92
111,127,25,62,7,9,6,24,7,52,29,96,97
105,121,27,28,0,0,4,189,6,64,32,112,90
107,134,22,72,0,0,4,161,0,53,35,130,77
140,137,24,48,0,0,0,200,0,0,23,110,86
151,168,18,0,0,0,0,0,0,0,17,178,108
145,114,96,104,82,60,630,69,69,77,107,131,95
180,98,71,75,87,92,4630,95,102,107,116,117,157
