446,334,295,256,232,211,210,221,207,183,203,220,308
281,215,189,144,254,496,411,118,98,138,137,156,246
299,380,104,107,84,575,200,105,107,106,140,358,256
317,330,83,762,114,1153,81,545,22,306,60,258,242
333,328,83,1067,96,1013,58,491,22,653,83,385,235
310,334,81,1366,81,908,52,504,11,966,426,574,219
364,347,70,1331,77,1095,51,748,49,881,134,350,206
353,483,280,1504,90,1199,17,303,31,375,104,264,198
364,878,685,2075,86,1052,11,119,23,549,100,252,226
380,671,174,1453,87,1247,52,276,34,634,95,259,208
387,333,134,1363,76,930,52,670,56,846,120,275,208
420,373,83,862,64,1220,113,1162,98,1053,149,274,227
450,340,122,841,88,1431,160,1970,167,1357,137,267,207
511,527,137,84,91,108,249,1402,164,126,185,321,256
553,533,266,230,218,243,3892,1017,542,231,261,268,268
722,316,287,266,232,204,17695,233,253,270,254,269,455
